Time_s,Mag_X_uT,Mag_Y_uT,Mag_Z_uT,Total_Mag_uT
0,24.9730878053135,-0.0356764208458788,39.9969175240201,47.1530465480457
0.1,25.0310256170248,0.783911333729557,39.9641570838149,47.1624915779386
0.2,24.9994675338804,1.63682745620825,39.9637052594477,47.1672589744512
0.3,24.905918627696,2.36294632535792,40.0394343146739,47.2127588503894
0.4,24.7530628280312,3.13633196508412,39.9308222126916,47.0852552307541
0.5,24.6660478132941,3.88020366895834,40.0218503658375,47.1722206594707
0.6,24.4923088943588,4.66818893863675,40.1100075550595,47.2279354726673
0.7,24.443788477926,5.50859055314914,39.871308889554,47.0910250217815
0.8,24.2234091096467,6.22181677286066,40.0245199901099,47.195834067077
0.9,24.0451011387075,6.97777781193529,39.9343663802442,47.1339568692783
1,23.7468379093902,7.62411551368325,39.9014307947678,47.0549001436671
1.1,23.6142387057057,8.37085829030407,39.974429694587,47.1768859461271
1.2,23.3352582596653,9.27715849016305,40.0803437258145,47.2972927436266
1.3,22.9376739745856,9.89976481463884,39.9475853430761,47.1163645190489
1.4,22.5651462438975,10.6641220030598,40.0217618148094,47.1662033861743
1.5,22.2411178106958,11.3356519516607,40.0001355211491,47.1505585157667
1.6,21.9083754674165,12.0686400187563,40.0383533481368,47.2090958010623
1.7,21.5155731445756,12.8259967264236,39.9525693380233,47.155422556429
1.8,21.0751475868274,13.4053034628342,40.0217315292385,47.1762970286528
1.9,20.6923119026175,14.0322719338816,40.028143139011,47.1945830647836
2,20.2049719670842,14.7111857499983,40.0328880332763,47.1941945862671
2.1,19.689782568248,15.3803856636637,40.1174965598041,47.2615840929376
2.2,19.2485859279216,15.9270003766838,40.0234382601481,47.1810662383477
2.3,18.7495373979669,16.5937144088172,39.8691352517733,47.0791297311595
2.4,18.2742348449772,17.1283525180234,39.9924499911583,47.1881783442247
2.5,17.6376030647481,17.7560218523558,39.9938659112655,47.1791337819934
2.6,17.1182676489798,18.2382973270245,39.9753122431492,47.156083018295
2.7,16.5464868726882,18.7078632146165,39.9892928845877,47.1477880636428
2.8,15.8289263657463,19.2191034890496,39.9798595826852,47.0990235680767
2.9,15.3428752053519,19.7092986188088,39.9857666107407,47.1457506363087
3,14.6467063368444,20.3012218262367,40.0940548077301,47.2673126492409
3.1,14.0357686037099,20.7128022747583,39.9368410688458,47.1272135069364
3.2,13.5196046559551,21.1291917579873,40.0231868804411,47.2342877840435
3.3,12.8029891963629,21.4833429624168,39.9966634769607,47.1718522690412
3.4,12.0851923973381,21.8792002180263,40.0072341793833,47.1734042034828
3.5,11.3417831321943,22.3090308299969,40.0569387812096,47.23226911459
3.6,10.6015962016727,22.6180423170216,39.9699183702487,47.1334706424452
3.7,9.94861496419014,22.8914595124142,39.9882535263263,47.1386707322125
3.8,9.19187337498976,23.2766108223257,39.9646148671093,47.1535957164693
3.9,8.40271462394613,23.3540501836733,39.981694717846,47.0590393606164
4,7.72433501607641,23.7511279444126,40.086200068097,47.230126677492
4.1,6.930774633931,24.0038722753551,40.0607223608304,47.2131655082504
4.2,6.27267920276423,24.1638427753028,39.8651332136425,47.0368647785096
